received_at,monotonic_s,robot,role,fleet_id,kind,x,y,z,yaw,pose_age,pose_fresh
2026-09-13T03:08:53.159+00:00,67146.875337055,limo_d,,LIMO4,limo,0,0,0.0,0.0,0.0005115809908602387,yes
2026-09-13T03:09:00.160+00:00,67155.870092585,cf230,cf230,CF01,drone,-1.0,0.0,0.0,0.0,0.0008355379977729172,yes
2026-09-13T03:09:00.160+00:00,67155.870092585,cf231,cf231,CF02,drone,-1.5,1.5,0.012522667733719572,0.0,0.0007682880095671862,yes
2026-09-13T03:09:00.160+00:00,67155.870092585,cf232,cf232,CF03,drone,-1.5,0.0,0.0,0.0,0.0007085800025379285,yes
2026-09-13T03:09:00.160+00:00,67155.870092585,cf233,cf233,CF04,drone,-1.5,-1.5,0.0,0.0,0.0006514140113722533,yes
2026-09-13T03:09:00.160+00:00,67155.870092585,spare_CF05,,CF05,drone,,,,,,no
2026-09-13T03:09:00.160+00:00,67155.870092585,spare_CF06,,CF06,drone,,,,,,no
2026-09-13T03:09:00.160+00:00,67155.870092585,spare_CF07,,CF07,drone,,,,,,no
2026-09-13T03:09:00.160+00:00,67155.870092585,spare_CF08,,CF08,drone,,,,,,no
2026-09-13T03:09:00.160+00:00,67155.870092585,spare_CF09,,CF09,drone,,,,,,no
2026-09-13T03:09:00.160+00:00,67155.870092585,spare_CF10,,CF10,drone,,,,,,no
2026-09-13T03:09:00.160+00:00,67155.870092585,limo_a,limo_a,LIMO1,limo,-4.0,2.0,0.0,0.0,0.00041199800034519285,yes
2026-09-13T03:09:00.160+00:00,67155.870092585,limo_b,limo_b,LIMO2,limo,-4.0,-2.0,0.0,0.0,0.0003638740017777309,yes
2026-09-13T03:09:00.160+00:00,67155.870092585,limo_c,,LIMO3,limo,0,0,0.0,0.0,0.0003408740012673661,yes
2026-09-13T03:09:00.160+00:00,67155.870092585,limo_d,,LIMO4,limo,0,0,0.0,0.0,0.00032037400524131954,yes
2026-09-13T03:09:16.160+00:00,67171.869591218,cf230,cf230,CF01,drone,-1.0,0.0,0.0,0.0,0.0008637459977762774,yes
2026-09-13T03:09:16.160+00:00,67171.869591218,cf231,cf231,CF02,drone,-1.0,1.5,0.4,0.0,0.0007572460017399862,yes
2026-09-13T03:09:16.160+00:00,67171.869591218,cf232,cf232,CF03,drone,1.4721907569008184,0.0,0.8,0.0,0.0006969130045035854,yes
2026-09-13T03:09:16.160+00:00,67171.869591218,cf233,cf233,CF04,drone,0.6278092430991817,-1.5,1.2,0.0,0.000651747002848424,yes
2026-09-13T03:09:16.160+00:00,67171.869591218,spare_CF05,,CF05,drone,,,,,,no
2026-09-13T03:09:16.160+00:00,67171.869591218,spare_CF06,,CF06,drone,,,,,,no
2026-09-13T03:09:16.160+00:00,67171.869591218,spare_CF07,,CF07,drone,,,,,,no
